city_slug,city_name,days_from_cutoff,n_obs,mean_price_usd,mean_log_price,availability_rate
austin,Austin,23,15418,380.68880529251527,5.246861371630875,0.44162667012582696
austin,Austin,24,15418,380.6934751589052,5.246864103265628,0.4396160332079388
austin,Austin,25,15418,380.6934751589052,5.246864103265628,0.43773511480088206
austin,Austin,26,15418,380.6934751589052,5.246864103265628,0.4381242703333766
austin,Austin,27,15418,380.6902321961344,5.2468626456929295,0.44246984044623167
austin,Austin,28,15418,380.68880529251527,5.246861371630876,0.4429238552341419
austin,Austin,29,15418,380.68880529251527,5.246861371630876,0.4438318848099624
austin,Austin,30,15418,380.58827344662086,5.246800915044648,0.4379296925671293
austin,Austin,31,15418,380.58970035024,5.246802189106704,0.4333246854326112
austin,Austin,32,15418,380.595472823972,5.246807102108495,0.4307951744713971
austin,Austin,33,15418,380.595472823972,5.246807102108495,0.43066545596056555
austin,Austin,34,15418,380.595472823972,5.246807102108495,0.43267609287845377
austin,Austin,35,15418,380.595472823972,5.246807102108495,0.4396160332079388
austin,Austin,36,15418,380.595472823972,5.246807102108495,0.4401997665066805
austin,Austin,37,15418,380.595472823972,5.246807102108495,0.43877286288753403
austin,Austin,38,15418,380.595472823972,5.246807102108495,0.4330003891555325
austin,Austin,39,15418,380.595472823972,5.246807102108495,0.42956284861849786
austin,Austin,40,15418,380.595472823972,5.246807102108495,0.42956284861849786
austin,Austin,41,15418,380.595472823972,5.246807102108495,0.42982228564016084
austin,Austin,42,15418,380.595472823972,5.246807102108495,0.36716824490854844
austin,Austin,43,15418,380.7153975872357,5.2468734367137175,0.36055260085614216
austin,Austin,44,15418,380.8386301725256,5.2469278576963845,0.35471526786872487
austin,Austin,45,15418,380.8386301725256,5.2469278576963845,0.336684394863147
austin,Austin,46,15418,380.8386301725256,5.2469278576963845,0.32273965494876117
austin,Austin,47,15418,380.8386301725256,5.2469278576963845,0.32351796601375016
austin,Austin,48,15418,380.8386301725256,5.2469278576963845,0.33227396549487614
austin,Austin,49,15418,380.8386301725256,5.2469278576963845,0.3552990011674666
austin,Austin,50,15418,380.8386301725256,5.2469278576963845,0.3591905564924115
austin,Austin,51,15418,380.6934751589052,5.246864004296904,0.3601634453236477
austin,Austin,52,15418,380.6934751589052,5.246864004296904,0.35983914904656894
austin,Austin,53,15418,380.6934751589052,5.246864004296904,0.35906083798157995
austin,Austin,54,15418,380.6934751589052,5.246864004296904,0.3597742897911532
austin,Austin,55,15418,380.6934751589052,5.246864004296904,0.36204436373070437
austin,Austin,56,15418,380.6934751589052,5.246864004296904,0.36197950447528865
austin,Austin,57,15418,380.6934751589052,5.246864004296904,0.36217408224153586
austin,Austin,58,15418,380.6934751589052,5.246864004296904,0.36197950447528865
austin,Austin,59,15418,380.6934751589052,5.246864004296904,0.3628875340511091
austin,Austin,60,15418,380.6934751589052,5.246864004296905,0.3642495784148398
austin,Austin,61,15418,380.6044234012194,5.246816823274368,0.36210922298612014
austin,Austin,62,15418,380.6044234012194,5.246816823274368,0.3602931638344792
austin,Austin,63,15418,380.55247113763136,5.246791165428062,0.3611363341548839
austin,Austin,64,15418,380.55247113763136,5.246791165428062,0.36107147489946817
austin,Austin,65,15418,380.58496562459464,5.2468056707903905,0.36133091192113115
austin,Austin,66,15418,380.58496562459464,5.2468056707903905,0.3602931638344792
austin,Austin,67,15418,380.58496562459464,5.2468056707903905,0.35893111947074846
austin,Austin,68,15418,380.58496562459464,5.2468056707903905,0.3591905564924115
austin,Austin,69,15418,380.58496562459464,5.2468056707903905,0.3610066156440524
austin,Austin,70,15418,380.55247113763136,5.246791165428062,0.36107147489946817
austin,Austin,71,15418,380.55247113763136,5.246791165428062,0.36081203787780514
austin,Austin,72,15418,380.58496562459464,5.2468056707903905,0.3575690751070178
austin,Austin,73,15418,380.58496562459464,5.2468056707903905,0.3594499935140745
austin,Austin,74,15418,380.58496562459464,5.2468056707903905,0.358282526916591
austin,Austin,75,15418,380.58496562459464,5.2468056707903905,0.3584122454274225
austin,Austin,76,15418,380.58496562459464,5.2468056707903905,0.3600337268128162
austin,Austin,77,15418,380.55247113763136,5.246791165428062,0.36048774160072644
austin,Austin,78,15418,380.55247113763136,5.246791165428062,0.3601634453236477
austin,Austin,79,15418,380.58496562459464,5.2468056707903905,0.3601634453236477
austin,Austin,80,15418,380.58496562459464,5.2468056707903905,0.3600337268128162
austin,Austin,81,15418,380.58496562459464,5.2468056707903905,0.3578933713840965
austin,Austin,82,15418,380.58496562459464,5.2468056707903905,0.35808794915034375
austin,Austin,83,15418,380.58496562459464,5.2468056707903905,0.35983914904656894
austin,Austin,84,15418,380.57841483979763,5.246805646464622,0.3591905564924115
